"Uzemie","Narodnost","population_2021","population_2024","change_in_population"
Vidiek,slovenska,2137203,2178436,41233
Mesta,ukrajinska,6608,8816,2208
Vidiek,ceska,9603,10221,618
Mesta,vietnamska,2414,2959,545
Vidiek,ukrajinska,3160,3593,433
Mesta,srbska,807,1201,394
Mesta,ruska,2510,2846,336
Mesta,cinska,1133,1305,172
Mesta,polska,2509,2660,151
Mesta,rumunska,823,971,148
Vidiek,polska,1396,1523,127
Mesta,albanska,545,667,122
Mesta,talianska,928,1048,120
Mesta,rakuska,381,486,105
Vidiek,rumunska,672,774,102
Vidiek,albanska,146,241,95
Mesta,turecka,339,430,91
Mesta,francuzska,445,535,90
Mesta,anglicka,305,378,73
Mesta,iranska,97,168,71
Vidiek,srbska,313,363,50
Vidiek,anglicka,242,290,48
Vidiek,rakuska,234,276,42
Mesta,korejska,242,279,37
Vidiek,talianska,392,426,34
Mesta,nemecka,2132,2165,33
Vidiek,ruska,802,835,33
Mesta,bulharska,902,934,32
Vidiek,vietnamska,429,461,32
Mesta,irska,168,192,24
Vidiek,bulharska,202,221,19
Mesta,chorvatska,819,836,17
Vidiek,chorvatska,161,174,13
Vidiek,francuzska,118,131,13
Vidiek,irska,87,97,10
Mesta,kanadska,63,72,9
Vidiek,turecka,75,83,8
Vidiek,cinska,75,82,7
Vidiek,kanadska,21,26,5
Vidiek,grecka,79,83,4
Vidiek,korejska,61,65,4
Vidiek,nemecka,1207,1211,4
Mesta,grecka,301,303,2
Vidiek,iranska,22,24,2
Mesta,slieszka,72,67,-5
Vidiek,slieszka,44,38,-6
Vidiek,zidovska,139,127,-12
Vidiek,moravska,297,282,-15
Mesta,zidovska,432,389,-43
Mesta,moravska,759,692,-67
Mesta,ceska,19629,19306,-323
Mesta,romska,20185,19751,-434
Vidiek,romska,47050,46272,-778
Mesta,rusinska,10694,9645,-1049
Vidiek,rusinska,12087,10837,-1250
Mesta,madarska,158482,155569,-2913
Vidiek,madarska,260518,257429,-3089
Vidiek,ina_a_nezistena,82263,76771,-5492
Mesta,ina_a_nezistena,205112,188753,-16359
Mesta,slovenska,2435778,2404636,-31142
